d0,d1,amax,chung,dai,d_chung,d_dai
8,24,0.4,0.14679548399481618,0.1532438623844889,-0.004155815616119218,0.31026500168179205
8,24,0.6,0.14678173688274007,0.1522159205781641,-0.005530526823729898,0.41305918231427097
8,24,0.8,0.14677642655601356,0.15183889391820649,-0.00606155949638143,0.45076184831003285
8,24,1.0,0.14677669501819046,0.15188249975147042,-0.006034713278690873,0.44640126498363963
10,14,0.4,0.1467796216072425,0.15209910353764292,-0.005742054373486516,0.42474088636638985
10,14,0.6,0.14676663421625213,0.1511761696658127,-0.007040793472523621,0.5170342735494105
10,14,0.8,0.14676442101415307,0.15108474366524804,-0.007262113682429683,0.526176873605877
10,14,1.0,0.14676844234205721,0.15144951980678306,-0.00685998089201556,0.48969925945237525
10,16,0.4,0.1467853274485582,0.15247163167162026,-0.0051714702419158876,0.38748807296865584
10,16,0.6,0.14677290716716856,0.15157393840328487,-0.006413498380880567,0.4772573998021945
10,16,0.8,0.14677008687393822,0.15141695171309708,-0.006695527703914905,0.49295606882097387
10,16,1.0,0.14677286137187878,0.15169172617075405,-0.006418077909858821,0.46547862305527654
10,18,0.4,0.14678953308434317,0.15276137667160733,-0.004750906663419929,0.35851357296994846
10,18,0.6,0.1467777529569043,0.15189856100242347,-0.005928919407308109,0.44479513988833486
10,18,0.8,0.1467747706841637,0.15171969205397662,-0.006227146681367368,0.4626820347330196
10,18,1.0,0.14677691330118167,0.15193621758201226,-0.006012884979569866,0.4410294819294558
10,20,0.4,0.14679346194349302,0.1530445359692446,-0.004358020748435054,0.33019764320622036
10,20,0.6,0.1467813395296532,0.15214418733588006,-0.005570262132417736,0.4202325065426754
10,20,0.8,0.1467780791672763,0.15193521311452426,-0.005896298370106079,0.44112992867825496
10,20,1.0,0.14677986377173627,0.15211804426054856,-0.005717837924110181,0.42284681407582514
10,24,0.4,0.14679982477357628,0.15351290023925065,-0.003721737740108866,0.28336121620561594
10,24,0.6,0.14678705171448422,0.15255037687857942,-0.004999043649314694,0.3796135522727395
10,24,0.8,0.1467817637734981,0.1521706267952904,-0.005527837747926201,0.4175885606016422
10,24,1.0,0.1467821487556029,0.15223409218729048,-0.005489339537448346,0.4112420214016338
12,14,0.4,0.14678691656307866,0.15242597534779614,-0.005012558789871391,0.392053705351067
12,14,0.6,0.14677656037627637,0.15161597359433285,-0.006048177470099891,0.4730538806973966
12,14,0.8,0.14677596341099614,0.15156928238134315,-0.006107873998123514,0.4777230019963663
12,14,1.0,0.14678117974106097,0.1519772739114156,-0.005586240991639624,0.43692384898912084
12,16,0.4,0.14679275968734973,0.15288299113900078,-0.004428246362764288,0.3463521262306035
12,16,0.6,0.14678280813733172,0.15210463776258973,-0.005423401364565428,0.4241874638717086
12,16,0.8,0.1467817268792574,0.1520200679346328,-0.0055315271719980075,0.43264444666740176
12,16,1.0,0.14678543729346288,0.15231027533141778,-0.0051604857514486735,0.4036237069889037
12,18,0.4,0.1467965583248495,0.1531800988577335,-0.004048382612786838,0.31664135435733043
12,18,0.6,0.14678708505890287,0.1524391541283327,-0.004995709207450405,0.3907358272974115
12,18,0.8,0.14678587255500558,0.1523443190020817,-0.0051169595971789494,0.40021933992251124
12,18,1.0,0.14678949928942728,0.1526279814443486,-0.00475428615500928,0.3718530956958205
12,20,0.4,0.1468001433643737,0.15346050016337368,-0.0036898786603678513,0.2886012237933139
12,20,0.6,0.14678980708943226,0.1526520558018804,-0.0047235061545108925,0.369445659942641
12,20,0.8,0.14678839333632865,0.15254148011270968,-0.004864881464872184,0.3805032288597132
12,20,1.0,0.1467915408169427,0.15278765806073585,-0.004550133403466439,0.35588543405709605
12,24,0.4,0.14680589196887348,0.15391012315817698,-0.0031150182103895085,0.24363892431298328
12,24,0.6,0.14679505782614422,0.15306273842328394,-0.004198432483315528,0.3283773978022875
12,24,0.8,0.1467908583000107,0.15273427548641139,-0.004618385096666344,0.3612236914895428
12,24,1.0,0.14679190747919266,0.15281633628671187,-0.004513467178471342,0.35301761145949406
14,16,0.4,0.14680024425831464,0.1534683915108977,-0.0036797892662726595,0.28781208904091193
14,16,0.6,0.14679313161837285,0.15291208145830773,-0.0043910532604524155,0.3434430942999084
14,16,0.8,0.1467942536522903,0.15299984053970736,-0.004278849868707968,0.3346671861599454
14,16,1.0,0.14679942731784784,0.15340449509581733,-0.0037614833129528957,0.2942017305489486
14,18,0.4,0.14680349019806735,0.1537222703701293,-0.0033551952910021443,0.2624242031177504
14,18,0.6,0.1467956928128838,0.1531124034575558,-0.004134933809357699,0.32341089437510073
14,18,0.8,0.14679637128145398,0.15316546939215314,-0.0040670869523390385,0.31810430091536723
14,18,1.0,0.14680143257457512,0.15356133481841278,-0.0035609576402251264,0.27851775828940384
14,20,0.4,0.14680649812702604,0.1539575333851096,-0.0030544023951334376,0.23889790161972235
14,20,0.6,0.14679805748023525,0.15329735422540403,-0.003898467074212042,0.30491581759027886
14,20,0.8,0.14679757732094179,0.1532597989092357,-0.0039464830035584875,0.3086713492071125
14,20,1.0,0.14680181335966405,0.15359111765215447,-0.0035228791313318686,0.27553947491523456
14,24,0.4,0.14681113066938603,0.15431986437683892,-0.0025911481591339713,0.2026648024467892
14,24,0.6,0.14680239397229597,0.15363652985443865,-0.0034648178681401243,0.27099825468681615
14,24,0.8,0.14679955014245558,0.15341410173477832,-0.003749200852179446,0.29324106665284955
14,24,1.0,0.1468007385335547,0.15350705089574493,-0.0036303617422683843,0.28394615055618855
